,id,from,to,priority,type,shape,length,speed,lane_id,num_lane,from_region,to_region,region
138,-141181396#2,1546911973,1546911954,3,highway.living_street,"10173.56,9800.12 10178.63,9791.10 10191.43,9778.60 10210.87,9761.20 10185.04,9732.55 10177.39,9719.18 10156.50,9689.97 10143.46,9675.60 10133.93,9672.33",194.87,2.78,-141181396#2_0,1,5,5,5
139,-141181399,1546911930,1545562624,4,highway.residential,"10067.15,9505.21 10088.21,9485.86 10115.16,9461.09 10123.72,9470.19",81.82,8.33,-141181399_0,1,5,5,5
140,-141181401#1,1546911945,1546911930,3,highway.living_street,"10165.15,9620.35 10101.41,9553.30 10066.79,9517.66",156.70,2.78,-141181401#1_0,1,5,5,5
141,-141181401#2,1617995915,1546911945,3,highway.living_street,"10195.38,9649.12 10192.71,9647.46 10175.24,9630.54",41.69,2.78,-141181401#2_0,1,5,5,5
142,-141181402,1545562672,1546911975,4,highway.residential,"10097.78,9860.80 10111.60,9853.68",23.63,8.33,-141181402_0,1,5,5,5
143,-141181403#0,1546911928,1546911943,3,highway.living_street,"9952.82,9482.26 10053.82,9588.62",161.14,2.78,-141181403#0_0,1,5,5,5
144,-141181403#2,1545562621,1546911928,3,highway.living_street,"9939.35,9467.65 9942.24,9470.90 9942.98,9471.70",12.70,2.78,-141181403#2_0,1,5,5,5
145,-141182356#0,252905509,cluster_60695333_931597690,4,highway.residential,"9083.19,9430.70 9045.91,9486.38 9035.74,9513.68",113.80,8.33,-141182356#0_0,1,5,5,5
146,-141182356#2,252905038,252905509,4,highway.residential,"9149.07,9338.66 9136.81,9353.09 9123.97,9369.33 9091.17,9418.73",113.78,8.33,-141182356#2_0,1,5,5,5
147,-141182358,60694284,cluster_1596348853_60694280,4,highway.residential,"9525.28,9923.80 9606.66,9845.16",129.41,8.33,-141182358_0,1,5,5,5
148,-141182359,1545573112,1546911837,4,highway.residential,"9598.05,8859.80 9663.72,8786.60 9680.71,8772.14",135.12,8.33,-141182359_0,1,5,5,5
149,-141182365,274981672,1545573114,4,highway.residential,"9329.85,8963.32 9387.52,8908.34",87.30,13.89,-141182365_0,1,5,5,5
150,-141182366,618811776,60694271,3,highway.living_street,"9647.75,9957.51 9651.05,9957.56 9654.47,9956.16 9658.39,9953.79 9700.47,9915.31",77.51,2.78,-141182366_0,1,5,5,5
151,-141182367#0,1545573112,1545573113,4,highway.residential,"9600.85,8869.87 9609.29,8877.33",18.48,8.33,-141182367#0_0,1,5,5,5
152,-141182367#1,1546911840,1545573112,4,highway.residential,"9543.41,8815.96 9590.18,8860.13",79.54,8.33,-141182367#1_0,1,5,5,5
